grid_id,returned_latitude,returned_longitude,district_count
grid_0001,50.65026,-2.2340393,1
grid_0002,50.65026,-2.074463,1
grid_0003,50.65026,-1.4361877,1
grid_0004,50.65026,-1.2766113,1
grid_0005,50.720562,-2.238037,1
grid_0006,50.720562,-2.0781555,1
grid_0007,50.720562,-1.9183044,1
grid_0008,50.720562,-1.4387207,1
grid_0009,50.720562,-1.2788696,2
grid_0010,50.79086,-2.2420044,1
grid_0011,50.79086,-2.0818481,1
grid_0012,50.79086,-1.9217224,1
grid_0013,50.79086,-1.7615662,1
grid_0014,50.79086,-0.8007202,1
grid_0015,50.861156,-2.4064026,1
grid_0016,50.861156,-1.7647095,1
grid_0017,50.861156,-1.4438477,2
grid_0018,50.861156,-1.2834167,2
grid_0019,50.861156,-1.1229858,1
grid_0020,50.861156,-0.96255493,2
grid_0021,50.861156,-0.802124,1
grid_0022,50.861156,-0.64172363,1
grid_0023,50.931458,-2.5714417,1
grid_0024,50.931458,-2.4107056,1
grid_0025,50.931458,-1.6071472,1
grid_0026,50.931458,-1.4464417,2
grid_0027,50.931458,-1.2857056,2
grid_0028,50.931458,-1.125,1
grid_0029,50.931458,-0.96429443,1
grid_0030,50.931458,-0.80358887,2
grid_0031,50.931458,-0.6428528,1
grid_0032,51.001755,-2.5760193,1
grid_0033,51.001755,-2.415039,1
grid_0034,51.001755,-2.2540283,1
grid_0035,51.001755,-1.9320374,1
grid_0036,51.001755,-1.7710266,1
grid_0037,51.001755,-1.6100159,1
grid_0038,51.001755,-1.4490356,2
grid_0039,51.001755,-1.2880249,2
grid_0040,51.001755,-0.8050232,1
grid_0041,51.001755,-0.64401245,1
grid_0042,51.072056,-2.4193726,1
grid_0043,51.072056,-1.9354858,1
grid_0044,51.072056,-1.7742004,1
grid_0045,51.072056,-1.4516296,1
grid_0046,51.072056,-0.8064575,1
grid_0047,51.072056,-0.6451721,1
grid_0048,51.142353,-1.9389648,1
grid_0049,51.142353,-1.7773743,1
grid_0050,51.142353,-1.131073,1
grid_0051,51.142353,-0.80789185,2
grid_0052,51.21265,-1.6186829,1
grid_0053,51.21265,-1.4568176,1
grid_0054,51.21265,-1.1330872,1
grid_0055,51.21265,-0.9712219,1
grid_0056,51.21265,-0.8093262,1
grid_0057,51.21265,-0.64746094,1
grid_0058,51.28295,-2.2702942,1
grid_0059,51.28295,-2.1081238,1
grid_0060,51.28295,-1.6216431,1
grid_0061,51.28295,-1.4594727,1
grid_0062,51.28295,-1.1351624,1
grid_0063,51.28295,-0.97299194,1
grid_0064,51.28295,-0.81082153,1
grid_0065,51.28295,-0.6486511,1
grid_0066,51.35325,-2.2743835,1
grid_0067,51.35325,-2.111908,1
grid_0068,51.35325,-1.9494629,1
grid_0069,51.35325,-1.6245422,1
grid_0070,51.35325,-1.4620972,2
grid_0071,51.35325,-1.2996521,1
grid_0072,51.35325,-1.1371765,2
grid_0073,51.35325,-0.97473145,1
grid_0074,51.35325,-0.8122864,2
grid_0075,51.35325,-0.6498108,1
grid_0076,51.35325,-0.48736572,1
grid_0077,51.42355,-2.278473,1
grid_0078,51.42355,-2.1157227,1
grid_0079,51.42355,-1.4647217,1
grid_0080,51.42355,-1.3019714,1
grid_0081,51.42355,-1.1392212,2
grid_0082,51.42355,-0.97647095,1
grid_0083,51.42355,-0.8137207,2
grid_0084,51.42355,-0.65097046,2
grid_0085,51.42355,-0.4882202,2
grid_0086,51.42355,-0.32546997,2
grid_0087,51.493847,-1.793457,1
grid_0088,51.493847,-1.4673767,1
grid_0089,51.493847,-1.3043213,1
grid_0090,51.493847,-1.1412964,1
grid_0091,51.493847,-0.97824097,1
grid_0092,51.493847,-0.81521606,4
grid_0093,51.493847,-0.65216064,2
grid_0094,51.493847,-0.48910522,3
grid_0095,51.493847,-0.32608032,2
grid_0096,51.493847,-0.1630249,1
grid_0097,51.564144,-1.960083,1
grid_0098,51.564144,-1.7967529,1
grid_0099,51.564144,-1.3067322,1
grid_0100,51.564144,-0.9800415,1
grid_0101,51.564144,-0.8167114,1
grid_0102,51.564144,-0.65338135,2
grid_0103,51.564144,-0.49002075,3
grid_0104,51.564144,-0.32669067,1
grid_0105,51.634445,-1.9636536,1
grid_0106,51.634445,-1.8000183,1
grid_0107,51.634445,-1.636383,1
grid_0108,51.634445,-1.4727478,1
grid_0109,51.634445,-1.3091125,1
grid_0110,51.634445,-1.1454773,1
grid_0111,51.634445,-0.98184204,1
grid_0112,51.634445,-0.8182068,1
grid_0113,51.634445,-0.65457153,1
grid_0114,51.704742,-1.8032837,1
grid_0115,51.704742,-1.3114929,1
grid_0116,51.704742,-1.1475525,1
grid_0117,51.704742,-0.81967163,1
grid_0118,51.775043,-1.4780884,1
grid_0119,51.775043,-1.3138733,2
grid_0120,51.775043,-1.1496277,1
grid_0121,51.84534,-1.4808044,1
grid_0122,51.84534,-1.3162537,1
grid_0123,51.84534,-1.1517334,1
grid_0124,51.915638,-1.3186646,1
grid_0125,51.915638,-1.1538391,1
grid_0126,56.274162,-5.5785217,1
grid_0127,56.41476,-5.7883606,1
grid_0128,56.41476,-5.414917,1
grid_0129,56.41476,-3.3609924,1
grid_0130,56.48506,-3.5550842,1
grid_0131,56.48506,-3.367981,1
grid_0132,56.48506,-3.1808777,1
grid_0133,56.55536,-5.625,1
grid_0134,56.55536,-3.375,1
grid_0135,56.55536,-3.1875,1
grid_0136,57.328644,-2.4946594,1
grid_0137,57.328644,-2.302765,1
grid_0138,57.398945,-2.5,1
grid_0139,57.398945,-2.3076782,1
grid_0140,57.469242,-2.5053406,1
grid_0141,57.469242,-2.312622,1
grid_0142,57.539543,-4.0558167,1
grid_0143,57.60984,-4.258087,1
grid_0144,57.680138,-4.2672424,1
grid_0145,57.75044,-4.082062,1
grid_0146,57.820736,-7.0130005,1
grid_0147,57.820736,-6.8181763,1
grid_0148,57.891037,-6.832947,1
grid_0149,57.961334,-6.8478394,1
grid_0150,58.94552,-3.2286987,1
grid_0151,58.94552,-2.8251343,1
grid_0152,59.015816,-3.235962,1
grid_0153,59.086113,-3.0405579,1
grid_0154,60.210896,-1.4719543,1
grid_0155,60.210896,-1.2616882,1
grid_0156,60.281193,-1.4754333,1
grid_0157,60.281193,-1.2646484,1
grid_0158,60.351494,-1.4788818,1
grid_0159,60.351494,-1.2676086,1
